"Step","hopeful-night-223 - eval/Achievements/defeat_zombie","hopeful-night-223 - eval/Achievements/defeat_zombie__MIN","hopeful-night-223 - eval/Achievements/defeat_zombie__MAX"
"52956","2.5046730041503906","2.5046730041503906","2.5046730041503906"
"53571","2.491234540939331","2.491234540939331","2.491234540939331"
"54187","2.534184217453003","2.534184217453003","2.534184217453003"
"54803","2.5409984588623047","2.5409984588623047","2.5409984588623047"
"55419","2.5490195751190186","2.5490195751190186","2.5490195751190186"
"56035","2.6274025440216064","2.6274025440216064","2.6274025440216064"
"56650","2.652704954147339","2.652704954147339","2.652704954147339"
"57266","2.689655065536499","2.689655065536499","2.689655065536499"
"57882","2.690277576446533","2.690277576446533","2.690277576446533"
"58497","2.712721109390259","2.712721109390259","2.712721109390259"
"59113","2.7847256660461426","2.7847256660461426","2.7847256660461426"
"59729","2.7869393825531006","2.7869393825531006","2.7869393825531006"
"60345","2.775057077407837","2.775057077407837","2.775057077407837"
"60961","2.8262274265289307","2.8262274265289307","2.8262274265289307"
"61576","2.8434505462646484","2.8434505462646484","2.8434505462646484"
"62192","2.830487012863159","2.830487012863159","2.830487012863159"
"62808","2.8195488452911377","2.8195488452911377","2.8195488452911377"
"63424","2.7915632724761963","2.7915632724761963","2.7915632724761963"
"64040","2.8080406188964844","2.8080406188964844","2.8080406188964844"
"64655","2.797628164291382","2.797628164291382","2.797628164291382"
"65271","2.8291947841644287","2.8291947841644287","2.8291947841644287"
"65887","2.8916380405426025","2.8916380405426025","2.8916380405426025"
"66502","2.906890869140625","2.906890869140625","2.906890869140625"
"67118","2.893467664718628","2.893467664718628","2.893467664718628"
"67734","2.9530978202819824","2.9530978202819824","2.9530978202819824"
"68350","2.9837899208068848","2.9837899208068848","2.9837899208068848"
"68966","2.970860004425049","2.970860004425049","2.970860004425049"
"69581","3.0576300621032715","3.0576300621032715","3.0576300621032715"
"70197","3.0345406532287598","3.0345406532287598","3.0345406532287598"
"70813","3.037026882171631","3.037026882171631","3.037026882171631"
"71429","3.011965274810791","3.011965274810791","3.011965274810791"
"72045","3.040632724761963","3.040632724761963","3.040632724761963"
"72660","3.044243097305298","3.044243097305298","3.044243097305298"
"73276","3.018918514251709","3.018918514251709","3.018918514251709"
