"Step","hopeful-night-223 - eval/Achievements/collect_sapling","hopeful-night-223 - eval/Achievements/collect_sapling__MIN","hopeful-night-223 - eval/Achievements/collect_sapling__MAX"
"32635","8.433363914489746","8.433363914489746","8.433363914489746"
"33251","8.851963996887207","8.851963996887207","8.851963996887207"
"33867","10.008910179138184","10.008910179138184","10.008910179138184"
"34482","11.175955772399902","11.175955772399902","11.175955772399902"
"35098","11.84549331665039","11.84549331665039","11.84549331665039"
"35714","12.51758098602295","12.51758098602295","12.51758098602295"
"36330","13.003865242004395","13.003865242004395","13.003865242004395"
"36946","13.89490795135498","13.89490795135498","13.89490795135498"
"37561","14.419225692749023","14.419225692749023","14.419225692749023"
"38177","15.079989433288574","15.079989433288574","15.079989433288574"
"38793","15.545243263244629","15.545243263244629","15.545243263244629"
"39409","16.121673583984375","16.121673583984375","16.121673583984375"
"40025","16.908092498779297","16.908092498779297","16.908092498779297"
"40640","17.454456329345703","17.454456329345703","17.454456329345703"
"41256","17.659883499145508","17.659883499145508","17.659883499145508"
"41872","18.038654327392578","18.038654327392578","18.038654327392578"
"42487","18.241655349731445","18.241655349731445","18.241655349731445"
"43103","18.45940399169922","18.45940399169922","18.45940399169922"
"43719","18.681570053100586","18.681570053100586","18.681570053100586"
"44335","18.710691452026367","18.710691452026367","18.710691452026367"
"44951","18.774877548217773","18.774877548217773","18.774877548217773"
"45566","19.135936737060547","19.135936737060547","19.135936737060547"
"46182","19.57364273071289","19.57364273071289","19.57364273071289"
"46798","19.82978630065918","19.82978630065918","19.82978630065918"
"47414","19.966442108154297","19.966442108154297","19.966442108154297"
"48030","20.455486297607422","20.455486297607422","20.455486297607422"
"48645","21.25535011291504","21.25535011291504","21.25535011291504"
"49261","21.569416046142578","21.569416046142578","21.569416046142578"
"49877","21.968191146850586","21.968191146850586","21.968191146850586"
"50492","22.651500701904297","22.651500701904297","22.651500701904297"
"51108","22.841062545776367","22.841062545776367","22.841062545776367"
"51724","23.295019149780273","23.295019149780273","23.295019149780273"
"52340","23.471511840820312","23.471511840820312","23.471511840820312"
"52956","23.869159698486328","23.869159698486328","23.869159698486328"
"53571","24.063480377197266","24.063480377197266","24.063480377197266"
"54187","24.48495864868164","24.48495864868164","24.48495864868164"
"54803","24.653091430664062","24.653091430664062","24.653091430664062"
"55419","24.937610626220703","24.937610626220703","24.937610626220703"
"56035","25.357080459594727","25.357080459594727","25.357080459594727"
"56650","25.479930877685547","25.479930877685547","25.479930877685547"
"57266","25.689655303955078","25.689655303955078","25.689655303955078"
"57882","26.01736831665039","26.01736831665039","26.01736831665039"
"58497","26.251052856445312","26.251052856445312","26.251052856445312"
"59113","26.613306045532227","26.613306045532227","26.613306045532227"
"59729","26.764511108398438","26.764511108398438","26.764511108398438"
"60345","26.918054580688477","26.918054580688477","26.918054580688477"
"60961","27.325580596923828","27.325580596923828","27.325580596923828"
"61576","27.715654373168945","27.715654373168945","27.715654373168945"
"62192","27.783048629760742","27.783048629760742","27.783048629760742"
"62808","27.678571701049805","27.678571701049805","27.678571701049805"
"63424","27.55893325805664","27.55893325805664","27.55893325805664"
"64040","27.83489418029785","27.83489418029785","27.83489418029785"
