"Step","hopeful-night-223 - eval/Achievements/defeat_skeleton","hopeful-night-223 - eval/Achievements/defeat_skeleton__MIN","hopeful-night-223 - eval/Achievements/defeat_skeleton__MAX"
"54803","0.036042530089616776","0.036042530089616776","0.036042530089616776"
"55419","0.035650622099637985","0.035650622099637985","0.035650622099637985"
"56035","0.03526714816689491","0.03526714816689491","0.03526714816689491"
"56650","0.03490401431918144","0.03490401431918144","0.03490401431918144"
"57266","0.03448275849223137","0.03448275849223137","0.03448275849223137"
"57882","0.05108121782541275","0.05108121782541275","0.05108121782541275"
"58497","0.05054759979248047","0.05054759979248047","0.05054759979248047"
"59113","0.05002501234412193","0.05002501234412193","0.05002501234412193"
"59729","0.04947229474782944","0.04947229474782944","0.04947229474782944"
"60345","0.048971597105264664","0.048971597105264664","0.048971597105264664"
"60961","0.04844961315393448","0.04844961315393448","0.04844961315393448"
"61576","0.04792332276701927","0.04792332276701927","0.04792332276701927"
"62192","0.047438330948352814","0.047438330948352814","0.047438330948352814"
"62808","0.046992480754852295","0.046992480754852295","0.046992480754852295"
"63424","0.04652605578303337","0.04652605578303337","0.04652605578303337"
"64040","0.04603344947099686","0.04603344947099686","0.04603344947099686"
"64655","0.045613501220941544","0.045613501220941544","0.045613501220941544"
"65271","0.045146726071834564","0.045146726071834564","0.045146726071834564"
"65887","0.04471605271100998","0.04471605271100998","0.04471605271100998"
"66502","0.04426737502217293","0.04426737502217293","0.04426737502217293"
"67118","0.04384041950106621","0.04384041950106621","0.04384041950106621"
"67734","0.04342791065573692","0.04342791065573692","0.04342791065573692"
"68350","0.04303543269634247","0.04303543269634247","0.04303543269634247"
"68966","0.04264392331242561","0.04264392331242561","0.04264392331242561"
"69581","0.04227138310670853","0.04227138310670853","0.04227138310670853"
"70197","0.04195217415690422","0.04195217415690422","0.04195217415690422"
"70813","0.04160310700535774","0.04160310700535774","0.04160310700535774"
"71429","0.041259799152612686","0.041259799152612686","0.041259799152612686"
"72045","0.04090537130832672","0.04090537130832672","0.04090537130832672"
"72660","0.04058990627527237","0.04058990627527237","0.04058990627527237"
"73276","0.04025224596261978","0.04025224596261978","0.04025224596261978"
"73892","0.03994673863053322","0.03994673863053322","0.03994673863053322"
"74507","0.039609190076589584","0.039609190076589584","0.039609190076589584"
